++ dirname queue_clean.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[1030] pix=55.85 sam=59.04 samrand=54.12
[1040] pix=55.90 sam=59.11 samrand=54.17
[1050] pix=55.90 sam=59.15 samrand=54.04
[1060] pix=55.86 sam=59.11 samrand=53.98
[1070] pix=55.90 sam=59.16 samrand=54.07
[1080] pix=56.06 sam=59.29 samrand=54.20
[1090] pix=56.15 sam=59.38 samrand=54.10
[1100] pix=56.17 sam=59.42 samrand=54.09
[1110] pix=56.13 sam=59.36 samrand=54.07
[1120] pix=56.15 sam=59.33 samrand=54.06
[1130] pix=56.13 sam=59.35 samrand=53.92
[1140] pix=56.09 sam=59.33 samrand=53.85
[1150] pix=56.12 sam=59.38 samrand=53.85
[1160] pix=55.97 sam=59.15 samrand=53.78
[1170] pix=56.03 sam=59.21 samrand=53.78
[1180] pix=56.02 sam=59.17 samrand=53.76
[1190] pix=56.04 sam=59.25 samrand=53.88
[1200] pix=55.96 sam=59.14 samrand=53.79
[1210] pix=55.96 sam=59.17 samrand=53.82
[1220] pix=55.91 sam=59.10 samrand=53.82
[1230] pix=55.86 sam=59.07 samrand=53.78
[1240] pix=55.85 sam=59.07 samrand=53.76
[1250] pix=55.81 sam=59.03 samrand=53.75
[1260] pix=55.78 sam=59.03 samrand=53.75
[1270] pix=55.76 sam=58.98 samrand=53.75
[1280] pix=55.81 sam=59.01 samrand=53.78
[1290] pix=55.61 sam=58.77 samrand=53.56
[1300] pix=55.62 sam=58.77 samrand=53.60
[1310] pix=55.51 sam=58.63 samrand=53.48
[1320] pix=55.44 sam=58.54 samrand=53.45
[1330] pix=55.40 sam=58.52 samrand=53.43
[1340] pix=55.46 sam=58.57 samrand=53.54
{
 "pix_vabs": 55.48,
 "sam_reg_vabs": 58.71,
 "sam_reg_rand": 53.63
}
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant clearclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_clearclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=54.16 sam=57.45 samrand=50.25
[20] pix=45.74 sam=49.15 samrand=46.11
[30] pix=43.91 sam=47.22 samrand=43.43
[40] pix=45.14 sam=50.58 samrand=46.49
[50] pix=48.32 sam=54.00 samrand=49.78
[60] pix=49.23 sam=55.69 samrand=51.57
[70] pix=50.71 sam=55.86 samrand=52.43
[80] pix=50.86 sam=54.58 samrand=51.33
[90] pix=51.10 sam=54.35 samrand=51.20
[100] pix=51.15 sam=54.38 samrand=50.60
[110] pix=51.21 sam=54.70 samrand=50.66
[120] pix=51.29 sam=54.85 samrand=50.59
[130] pix=51.50 sam=55.12 samrand=50.60
[140] pix=51.39 sam=54.87 samrand=49.82
[150] pix=51.07 sam=54.70 samrand=49.85
[160] pix=51.17 sam=54.85 samrand=50.13
[170] pix=51.00 sam=54.30 samrand=49.71
[180] pix=51.51 sam=54.75 samrand=49.98
[190] pix=51.97 sam=55.04 samrand=50.33
[200] pix=52.15 sam=55.46 samrand=50.47
[210] pix=51.86 sam=54.58 samrand=49.93
[220] pix=51.68 sam=54.42 samrand=49.83
[230] pix=51.82 sam=54.57 samrand=49.82
[240] pix=51.93 sam=54.82 samrand=49.93
[250] pix=51.97 sam=54.97 samrand=50.09
[260] pix=51.80 sam=54.80 samrand=49.89
[270] pix=52.26 sam=55.31 samrand=50.46
[280] pix=52.05 sam=55.13 samrand=50.28
[290] pix=51.48 sam=54.57 samrand=49.68
[300] pix=51.37 sam=54.50 samrand=49.58
[310] pix=51.20 sam=54.31 samrand=49.65
[320] pix=51.33 sam=54.37 samrand=49.77
[330] pix=51.68 sam=54.85 samrand=49.96
[340] pix=51.98 sam=55.11 samrand=50.23
[350] pix=51.90 sam=55.02 samrand=50.27
[360] pix=51.97 sam=55.10 samrand=50.15
[370] pix=52.11 sam=55.12 samrand=50.00
[380] pix=52.15 sam=55.03 samrand=50.04
[390] pix=52.41 sam=55.31 samrand=50.13
[400] pix=52.56 sam=55.45 samrand=50.27
[410] pix=52.45 sam=55.31 samrand=49.88
[420] pix=52.28 sam=55.07 samrand=49.74
[430] pix=52.84 sam=55.63 samrand=50.37
[440] pix=53.25 sam=56.15 samrand=51.05
[450] pix=53.17 sam=56.20 samrand=51.03
[460] pix=52.82 sam=55.83 samrand=50.65
[470] pix=52.69 sam=55.72 samrand=50.46
[480] pix=52.74 sam=55.79 samrand=50.46
[490] pix=52.74 sam=55.82 samrand=50.55
[500] pix=52.74 sam=55.86 samrand=50.47
[510] pix=52.65 sam=56.03 samrand=50.75
[520] pix=52.64 sam=56.07 samrand=50.69
[530] pix=52.86 sam=56.22 samrand=50.94
[540] pix=52.82 sam=56.16 samrand=50.92
[550] pix=52.86 sam=56.27 samrand=51.06
[560] pix=52.95 sam=56.28 samrand=51.06
