++ dirname queue_full.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/full_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[1030] pix=55.40 sam=58.88 samrand=53.87
[1040] pix=55.36 sam=58.80 samrand=53.89
[1050] pix=55.46 sam=58.91 samrand=53.96
[1060] pix=55.39 sam=58.78 samrand=53.83
[1070] pix=55.49 sam=58.89 samrand=53.94
[1080] pix=55.45 sam=58.85 samrand=53.81
[1090] pix=55.46 sam=58.83 samrand=53.82
[1100] pix=55.41 sam=58.77 samrand=53.78
[1110] pix=55.48 sam=58.81 samrand=53.81
[1120] pix=55.55 sam=58.90 samrand=53.85
[1130] pix=55.56 sam=58.91 samrand=53.85
[1140] pix=55.62 sam=58.98 samrand=53.90
[1150] pix=55.62 sam=59.01 samrand=53.78
[1160] pix=55.58 sam=58.97 samrand=53.71
[1170] pix=55.62 sam=59.03 samrand=53.80
[1180] pix=55.77 sam=59.15 samrand=53.92
[1190] pix=55.85 sam=59.23 samrand=53.85
[1200] pix=55.87 sam=59.27 samrand=53.84
[1210] pix=55.84 sam=59.21 samrand=53.82
[1220] pix=55.85 sam=59.18 samrand=53.81
[1230] pix=55.84 sam=59.20 samrand=53.69
[1240] pix=55.80 sam=59.18 samrand=53.63
[1250] pix=55.84 sam=59.23 samrand=53.62
[1260] pix=55.70 sam=59.01 samrand=53.56
[1270] pix=55.75 sam=59.07 samrand=53.56
[1280] pix=55.74 sam=59.03 samrand=53.55
[1290] pix=55.76 sam=59.10 samrand=53.67
[1300] pix=55.70 sam=59.01 samrand=53.59
[1310] pix=55.70 sam=59.04 samrand=53.62
[1320] pix=55.65 sam=58.98 samrand=53.62
[1330] pix=55.61 sam=58.95 samrand=53.58
[1340] pix=55.60 sam=58.95 samrand=53.56
[1350] pix=55.56 sam=58.92 samrand=53.55
[1360] pix=55.54 sam=58.92 samrand=53.56
[1370] pix=55.51 sam=58.87 samrand=53.55
[1380] pix=55.56 sam=58.89 samrand=53.58
[1390] pix=55.37 sam=58.66 samrand=53.37
[1400] pix=55.39 sam=58.66 samrand=53.40
[1410] pix=55.28 sam=58.53 samrand=53.29
[1420] pix=55.21 sam=58.45 samrand=53.26
[1430] pix=55.18 sam=58.42 samrand=53.24
[1440] pix=55.24 sam=58.48 samrand=53.34
{
 "pix_vabs": 55.26,
 "sam_reg_vabs": 58.62,
 "sam_reg_rand": 53.44
}
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant clearclip --dataset voc21 --offset 0 --limit 100000 --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/full_voc_clearclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=54.16 sam=57.45 samrand=50.25
[20] pix=45.74 sam=49.15 samrand=46.11
[30] pix=43.91 sam=47.22 samrand=43.43
[40] pix=45.14 sam=50.58 samrand=46.49
[50] pix=48.32 sam=54.00 samrand=49.78
[60] pix=49.23 sam=55.69 samrand=51.57
[70] pix=50.71 sam=55.86 samrand=52.43
[80] pix=50.86 sam=54.58 samrand=51.33
[90] pix=51.10 sam=54.35 samrand=51.20
[100] pix=51.15 sam=54.38 samrand=50.60
[110] pix=51.21 sam=54.70 samrand=50.66
[120] pix=51.29 sam=54.85 samrand=50.59
[130] pix=51.50 sam=55.12 samrand=50.60
[140] pix=51.39 sam=54.87 samrand=49.82
[150] pix=51.07 sam=54.70 samrand=49.85
[160] pix=51.17 sam=54.85 samrand=50.13
[170] pix=51.00 sam=54.30 samrand=49.71
[180] pix=51.51 sam=54.75 samrand=49.98
[190] pix=51.97 sam=55.04 samrand=50.33
[200] pix=52.15 sam=55.46 samrand=50.47
[210] pix=51.86 sam=54.58 samrand=49.93
[220] pix=51.68 sam=54.42 samrand=49.83
[230] pix=51.82 sam=54.57 samrand=49.82
[240] pix=51.93 sam=54.82 samrand=49.93
[250] pix=51.97 sam=54.97 samrand=50.09
[260] pix=51.80 sam=54.80 samrand=49.89
[270] pix=52.26 sam=55.31 samrand=50.46
[280] pix=52.05 sam=55.13 samrand=50.28
[290] pix=51.48 sam=54.57 samrand=49.68
[300] pix=51.37 sam=54.50 samrand=49.58
[310] pix=51.56 sam=54.78 samrand=49.74
[320] pix=51.57 sam=54.85 samrand=49.56
[330] pix=51.51 sam=54.90 samrand=49.28
[340] pix=51.30 sam=54.68 samrand=49.14
[350] pix=51.45 sam=54.78 samrand=49.25
[360] pix=51.17 sam=54.48 samrand=49.15
[370] pix=50.83 sam=54.11 samrand=48.89
[380] pix=50.83 sam=54.23 samrand=48.83
[390] pix=50.92 sam=54.41 samrand=48.91
[400] pix=51.10 sam=54.67 samrand=49.04
[410] pix=50.92 sam=54.44 samrand=49.07
[420] pix=51.05 sam=54.51 samrand=49.20
[430] pix=51.31 sam=54.87 samrand=49.34
[440] pix=51.51 sam=55.02 samrand=49.52
[450] pix=51.45 sam=54.94 samrand=49.55
[460] pix=51.50 sam=54.97 samrand=49.46
[470] pix=51.62 sam=55.01 samrand=49.37
[480] pix=51.71 sam=55.00 samrand=49.45
[490] pix=51.90 sam=55.20 samrand=49.52
[500] pix=52.07 sam=55.34 samrand=49.67
[510] pix=52.03 sam=55.28 samrand=49.41
[520] pix=51.88 sam=55.04 samrand=49.26
[530] pix=52.38 sam=55.54 samrand=49.80
[540] pix=52.74 sam=55.97 samrand=50.39
[550] pix=52.66 sam=56.02 samrand=50.39
[560] pix=52.42 sam=55.76 samrand=50.14
[570] pix=52.33 sam=55.67 samrand=50.01
[580] pix=52.38 sam=55.73 samrand=50.01
[590] pix=52.38 sam=55.76 samrand=50.09
[600] pix=52.37 sam=55.78 samrand=50.01
[610] pix=52.30 sam=55.92 samrand=50.26
[620] pix=52.30 sam=55.97 samrand=50.22
[630] pix=52.50 sam=56.11 samrand=50.45
[640] pix=52.46 sam=56.05 samrand=50.44
[650] pix=52.52 sam=56.17 samrand=50.59
[660] pix=52.60 sam=56.17 samrand=50.59
[670] pix=52.66 sam=56.26 samrand=50.57
[680] pix=52.64 sam=56.27 samrand=50.56
[690] pix=52.88 sam=56.53 samrand=50.69
[700] pix=52.83 sam=56.52 samrand=50.64
[710] pix=52.76 sam=56.42 samrand=50.53
[720] pix=52.63 sam=56.31 samrand=50.47
[730] pix=52.58 sam=56.22 samrand=50.40
[740] pix=52.71 sam=56.37 samrand=50.36
[750] pix=52.72 sam=56.36 samrand=50.28
[760] pix=52.46 sam=56.08 samrand=50.04
[770] pix=52.40 sam=56.05 samrand=49.95
[780] pix=52.54 sam=56.19 samrand=50.08
[790] pix=52.60 sam=56.23 samrand=50.15
[800] pix=52.65 sam=56.34 samrand=50.14
[810] pix=52.69 sam=56.41 samrand=50.21
[820] pix=52.69 sam=56.46 samrand=50.25
[830] pix=52.57 sam=56.29 samrand=50.15
[840] pix=52.38 sam=56.05 samrand=49.96
[850] pix=52.64 sam=56.35 samrand=50.19
[860] pix=52.61 sam=56.12 samrand=50.20
[870] pix=52.54 sam=56.07 samrand=50.15
[880] pix=52.53 sam=56.13 samrand=50.10
[890] pix=52.57 sam=56.12 samrand=50.08
[900] pix=52.52 sam=56.07 samrand=50.03
[910] pix=52.44 sam=55.99 samrand=49.93
[920] pix=52.49 sam=56.03 samrand=49.92
[930] pix=52.43 sam=55.97 samrand=49.81
[940] pix=52.41 sam=55.96 samrand=49.84
[950] pix=52.49 sam=56.03 samrand=49.96
[960] pix=52.62 sam=56.15 samrand=50.08
[970] pix=52.73 sam=56.20 samrand=50.12
[980] pix=52.77 sam=56.23 samrand=50.10
[990] pix=52.60 sam=56.08 samrand=49.97
[1000] pix=52.66 sam=56.21 samrand=50.05
[1010] pix=52.69 sam=56.26 samrand=50.14
[1020] pix=52.63 sam=56.17 samrand=50.03
[1030] pix=52.62 sam=56.19 samrand=49.98
[1040] pix=52.54 sam=56.03 samrand=49.86
[1050] pix=52.64 sam=56.14 samrand=49.98
[1060] pix=52.64 sam=56.23 samrand=49.92
[1070] pix=52.75 sam=56.35 samrand=50.03
[1080] pix=52.70 sam=56.27 samrand=49.96
[1090] pix=52.72 sam=56.26 samrand=49.95
[1100] pix=52.70 sam=56.20 samrand=49.92
[1110] pix=52.80 sam=56.27 samrand=49.99
[1120] pix=52.89 sam=56.37 samrand=50.04
[1130] pix=52.90 sam=56.34 samrand=50.02
[1140] pix=52.96 sam=56.42 samrand=50.09
[1150] pix=52.96 sam=56.40 samrand=50.00
[1160] pix=52.97 sam=56.42 samrand=49.96
[1170] pix=52.99 sam=56.45 samrand=50.04
[1180] pix=53.10 sam=56.55 samrand=50.15
[1190] pix=53.14 sam=56.59 samrand=50.10
[1200] pix=53.16 sam=56.65 samrand=50.15
[1210] pix=53.15 sam=56.64 samrand=50.19
[1220] pix=53.15 sam=56.60 samrand=50.24
[1230] pix=53.13 sam=56.63 samrand=50.21
[1240] pix=53.11 sam=56.60 samrand=50.10
[1250] pix=53.11 sam=56.63 samrand=50.06
[1260] pix=53.03 sam=56.48 samrand=50.09
[1270] pix=53.09 sam=56.53 samrand=50.11
[1280] pix=53.08 sam=56.52 samrand=50.09
[1290] pix=53.14 sam=56.61 samrand=50.19
[1300] pix=53.05 sam=56.48 samrand=50.04
[1310] pix=53.07 sam=56.51 samrand=50.07
